Location,Process,Technology,Family,PYield,PrimePass,PrimeFail,PrimeHandle,TotYield,TotPass,TotFail,TotHandle,AvgPASSTime
MDB_Jaguariuna,L2AR,ANDROID-MIAMI22,MIAMI22_ROW,97.88,369,8,377,96.41,376,14,390,65
MDB_Jaguariuna,L2AR,ANDROID-LONDON23,LONDON23_ROW,91.17,289,28,317,88.07,369,50,419,99
MDB_Jaguariuna,L2AR,ANDROID-VENUS23,VENUS23_SUPER,98.15,159,3,162,97.21,174,5,179,96
MDB_Jaguariuna,L2AR,ANDROID-RHODE4G22,RHODE4G22_LATAM,0,,,,100,1,,1,86
MDB_Jaguariuna,L2AR,***Total***,***Total***,95.78,5,306,234,5,540,93.58,5,644,387,6,031,80
MDB_Jaguariuna,L2ARNORM,ANDROID-CANCUN23,CANCUN23_BRAZIL,0,,,,100,2,,2,319
MDB_Jaguariuna,L2ARNORM,ANDROID-PENANG5G23,PENANG5G23_LATAM,0,,,,0,,5,5,
MDB_Jaguariuna,L2ARNORM,***Total***,***Total***,0,,,,28.57,2,5,7,319
MDB_Jaguariuna,LCDCAL,ANDROID-VENUS23,VENUS23_SUPER,100,162,,162,100,168,,168,83
MDB_Jaguariuna,LCDCAL,***Total***,***Total***,100,162,,162,100,168,,168,83
MDB_Jaguariuna,PRE_XCVR_LT,ANDROID-LONDON23,LONDON23_ROW,95.99,263,11,274,96.03,363,15,378,34
MDB_Jaguariuna,PRE_XCVR_LT,***Total***,***Total***,95.99,263,11,274,96.03,363,15,378,34
MDB_Jaguariuna,RADIOSLIM,ANDROID-PENANG5G23,PENANG5G23_LATAM,96.80,1,571,52,1,623,95.87,1,672,72,1,744,81
MDB_Jaguariuna,RADIOSLIM,ANDROID-CANCUN23,CANCUN23_BRAZIL,96.99,1,419,44,1,463,96.81,1,517,50,1,567,91
MDB_Jaguariuna,RADIOSLIM,ANDROID-SABAHLITE23,SABAHLITE23_LATAM,96.57,1,210,43,1,253,94.68,1,299,73,1,372,68
MDB_Jaguariuna,RADIOSLIM,ANDROID-BORAG22,BORAG22_LATAM,95.21,517,26,543,93.87,551,36,587,90
MDB_Jaguariuna,RADIOSLIM,ANDROID-MIAMI22,MIAMI22_ROW,95.83,368,16,384,94.16,387,24,411,150
MDB_Jaguariuna,RADIOSLIM,ANDROID-LONDON23,LONDON23_ROW,94.29,297,18,315,92.34,386,32,418,169
MDB_Jaguariuna,RADIOSLIM,ANDROID-VENUS23,VENUS23_SUPER,90.53,153,16,169,85.20,167,29,196,140
MDB_Jaguariuna,RADIOSLIM,ANDROID-RHODE4G22,RHODE4G22_LATAM,0,,,,100,1,,1,87
MDB_Jaguariuna,RADIOSLIM,***Total***,***Total***,96.26,5,535,215,5,750,94.98,5,980,316,6,296,94
MDB_Jaguariuna,RF_CAL,UNKNOWN,UNKNOWN,100,17,,17,100,17,,17,2,522
MDB_Jaguariuna,RF_CAL,***Total***,***Total***,100,17,,17,100,17,,17,2,522
MDB_Jaguariuna,SQT,ANDROID-VENUS23,VENUS23_SUPER,98.76,159,2,161,98.87,175,2,177,34
MDB_Jaguariuna,SQT,***Total***,***Total***,98.76,159,2,161,98.87,175,2,177,34
MDB_Jaguariuna,TOF,ANDROID-VENUS23,VENUS23_SUPER,99.38,161,1,162,98.82,168,2,170,14
MDB_Jaguariuna,TOF,***Total***,***Total***,99.38,161,1,162,98.82,168,2,170,14
MDB_Jaguariuna,UCT,ANDROID-LONDON23,LONDON23_ROW,98.17,268,5,273,97.86,366,8,374,65
MDB_Jaguariuna,UCT,ANDROID-VENUS23,VENUS23_SUPER,98.10,155,3,158,95.58,173,8,181,78
MDB_Jaguariuna,UCT,***Total***,***Total***,98.14,423,8,431,97.12,539,16,555,69
MDB_Jaguariuna,XCVR_LT,ANDROID-LONDON23,LONDON23_ROW,88.67,274,35,309,76.52,303,93,396,34
MDB_Jaguariuna,XCVR_LT,***Total***,***Total***,88.67,274,35,309,76.52,303,93,396,34
MDB_Jaguariuna,***Total***,***Total***,***Total***,97.93,34,979,740,35,719,96.85,36,847,1,199,38,046,246
